ClienteID,Sexo,EstadoCivil,DomicilioDepartamento,DomicilioProvincia,DomicilioDistrito,FechaNacimiento,TipoPersona,VentaID
239039,masculino,soltero,cuzco,cusco,cuzco,1983-09-03 00:00:00,persona natural,192853
238251,masculino,soltero,piura,sullana,sullana,1995-11-14 00:00:00,persona natural,192882
239077,masculino,soltero,junin,chupaca,chupaca,1990-01-15 00:00:00,persona natural,192905
239080,masculino,soltero,la libertad,trujillo,florencia de mora,1973-11-08 00:00:00,persona natural,192908
239087,masculino,soltero,puno,lampa,ocuviri,1995-03-04 00:00:00,persona natural,192915
238415,masculino,soltero,cajamarca,cajamarca,cajamarca,1998-05-26 00:00:00,persona natural,192976
239141,masculino,soltero,san martin,mariscal caceres,juanjui,1961-02-03 00:00:00,persona natural,192989
237595,NO ESPECIFICA,"",cuzco,la convencion,santa ana,2012-08-01 00:00:00,persona jurídica,193004
237595,NO ESPECIFICA,"",cuzco,la convencion,santa ana,2012-08-01 00:00:00,persona jurídica,193005
239131,masculino,casado,puno,san roman,juliaca,1979-07-06 00:00:00,persona natural,193008
104175,masculino,soltero,lima,lima,san martin de porres,1982-08-18 00:00:00,persona natural,193031
239146,masculino,soltero,puno,san roman,juliaca,1990-03-25 00:00:00,persona natural,193072
239216,masculino,soltero,madre de dios,tambopata,tambopata,1984-03-31 00:00:00,persona natural,193109
239222,NO ESPECIFICA,"",ancash,santa,nuevo chimbote,2006-05-26 00:00:00,persona jurídica,193121
239233,masculino,soltero,ayacucho,huanta,huanta,1996-08-23 00:00:00,persona natural,193129
236760,masculino,soltero,huancavelica,huancavelica,huancavelica,1996-12-10 00:00:00,persona natural,193191
239268,NO ESPECIFICA,"",la libertad,trujillo,trujillo,2001-10-15 00:00:00,persona jurídica,193203
239268,NO ESPECIFICA,"",la libertad,trujillo,trujillo,2001-10-15 00:00:00,persona jurídica,193204
239271,masculino,casado,arequipa,arequipa,j.l. bustamante y rivero,1987-03-12 00:00:00,persona natural,193237
232647,masculino,soltero,la libertad,pataz,pias,1982-04-20 00:00:00,persona natural,193295
232647,masculino,soltero,la libertad,pataz,pias,1982-04-20 00:00:00,persona natural,193299
232647,masculino,soltero,la libertad,pataz,pias,1982-04-20 00:00:00,persona natural,193303
239320,masculino,soltero,cuzco,cusco,cuzco,1993-05-26 00:00:00,persona natural,193312
239286,masculino,soltero,la libertad,trujillo,la esperanza,1991-03-25 00:00:00,persona natural,193315
62123,femenino,soltero,la libertad,trujillo,trujillo,1982-01-25 00:00:00,persona natural,193317
239337,masculino,casado,puno,puno,puno,1959-07-14 00:00:00,persona natural,193344
239347,femenino,soltero,la libertad,trujillo,florencia de mora,1988-10-01 00:00:00,persona natural,193367
239354,femenino,soltero,puno,puno,puno,1956-05-20 00:00:00,persona natural,193373
239373,femenino,soltero,cuzco,anta,anta,1982-06-25 00:00:00,persona natural,193439
239374,masculino,soltero,puno,san roman,juliaca,1988-11-08 00:00:00,persona natural,193440
239380,masculino,soltero,san martin,tocache,tocache,1987-08-20 00:00:00,persona natural,193489
239396,masculino,soltero,junin,huancayo,el tambo,1983-12-08 00:00:00,persona natural,193514
239396,masculino,soltero,junin,huancayo,el tambo,1983-12-08 00:00:00,persona natural,193516
239403,masculino,soltero,junin,huancayo,huancayo,1993-10-04 00:00:00,persona natural,193524
239407,masculino,soltero,tacna,tacna,alto de la alianza,1991-01-28 00:00:00,persona natural,193526
239415,masculino,soltero,lima,lima,santiago de surco,1971-07-12 00:00:00,persona natural,193531
239436,masculino,soltero,junin,huancayo,huancayo,1996-09-18 00:00:00,persona natural,193564
239437,femenino,soltero,ancash,santa,chimbote,1994-09-03 00:00:00,persona natural,193565
239446,masculino,soltero,arequipa,arequipa,cerro colorado,1979-03-23 00:00:00,persona natural,193572
239446,masculino,soltero,arequipa,arequipa,cerro colorado,1979-03-23 00:00:00,persona natural,193574
239457,masculino,soltero,la libertad,trujillo,la esperanza,1978-02-13 00:00:00,persona natural,193591
237776,masculino,soltero,la libertad,pataz,tayabamba,1971-07-18 00:00:00,persona natural,193592
239460,masculino,casado,piura,piura,castilla,1967-06-04 00:00:00,persona natural,193598
166468,masculino,soltero,lambayeque,chiclayo,chiclayo,1984-09-22 00:00:00,persona natural,193600
239532,femenino,soltero,junin,yauli,la oroya,1986-09-16 00:00:00,persona natural,193664
239619,femenino,soltero,cuzco,quispicanchi,camanti,1971-04-13 00:00:00,persona natural,193771
239259,masculino,soltero,piura,piura,26 de octubre,1992-08-16 00:00:00,persona natural,193772
239647,masculino,soltero,cuzco,quispicanchi,camanti,1985-09-03 00:00:00,persona natural,193790
239650,femenino,soltero,cuzco,cusco,cuzco,1984-02-19 00:00:00,persona natural,193794
36114,masculino,casado,apurimac,andahuaylas,san jeronimo,1983-06-22 00:00:00,persona natural,193795
239672,masculino,soltero,cuzco,cusco,wanchaq,1996-09-28 00:00:00,persona natural,193811
239687,femenino,casado,arequipa,islay,mollendo,1983-08-23 00:00:00,persona natural,193833
239734,femenino,soltero,la libertad,trujillo,la esperanza,1954-08-30 00:00:00,persona natural,193881
239742,NO ESPECIFICA,"",cuzco,canchis,sicuani,2014-02-20 00:00:00,persona jurídica,193888
239742,NO ESPECIFICA,"",cuzco,canchis,sicuani,2014-02-20 00:00:00,persona jurídica,193889
239747,masculino,soltero,junin,huancayo,chilca,1978-08-31 00:00:00,persona natural,193916
218536,masculino,casado,arequipa,arequipa,cerro colorado,1957-01-07 00:00:00,persona natural,193949
239798,masculino,soltero,la libertad,trujillo,florencia de mora,2000-03-06 00:00:00,persona natural,193953
239822,femenino,casado,junin,huancayo,huancayo,1984-04-11 00:00:00,persona natural,193989
239837,masculino,soltero,cuzco,quispicanchi,ocongate,1969-06-26 00:00:00,persona natural,194000
239861,masculino,soltero,lambayeque,chiclayo,la victoria,1983-08-28 00:00:00,persona natural,194029
239869,masculino,soltero,moquegua,mariscal nieto,moquegua,1981-12-17 00:00:00,persona natural,194036
239739,masculino,soltero,arequipa,arequipa,sachaca,1987-07-27 00:00:00,persona natural,194052
239914,masculino,casado,junin,huancayo,el tambo,1953-06-21 00:00:00,persona natural,194087
239943,femenino,soltero,cuzco,cusco,san jeronimo,1997-08-05 00:00:00,persona natural,194107
239943,femenino,soltero,cuzco,cusco,san jeronimo,1997-08-05 00:00:00,persona natural,194109
239960,femenino,soltero,puno,melgar,antauta,1978-03-03 00:00:00,persona natural,194125
239960,femenino,soltero,puno,melgar,antauta,1978-03-03 00:00:00,persona natural,194126
239944,masculino,soltero,arequipa,arequipa,j.l. bustamante y rivero,1998-02-21 00:00:00,persona natural,194140
